
exercise	exercise	fruits	fruits	is down, and the number of people eating just five servings of	
fruit	fruit	exercise	exercise	and veggie consumption, as well as a lack of daily	
smoking	smoking	high blood pressure	high blood pressure	, too much bad cholesterol,	
smoking	smoking	fruit	fruit	, too much bad cholesterol, high blood pressure, diabetes, abdominal obesity, stress, a lack of daily	
smoking	smoking	exercise	exercise	, too much bad cholesterol, high blood pressure, diabetes, abdominal obesity, stress, a lack of daily fruit and veggie consumption, as well as a lack of daily	
smoking	smoking	stress	stress	, too much bad cholesterol, high blood pressure, diabetes, abdominal obesity,	
smoking	smoking	blood	blood	, too much bad cholesterol, high	
smoking	smoking	abdominal obesity	abdominal obesity	, too much bad cholesterol, high blood pressure, diabetes,	
smoking	smoking	bad cholesterol	bad cholesterol	, too much	
smoking	smoking	diabetes	diabetes	, too much bad cholesterol, high blood pressure,	
smoking	smoking	blood pressure	blood pressure	, too much bad cholesterol, high	
smoking	smoking	cholesterol	cholesterol	, too much bad	
smoking	smoking	obesity	obesity	, too much bad cholesterol, high blood pressure, diabetes, abdominal	
stress	stress	fruit	fruit	, a lack of daily	
stress	stress	exercise	exercise	, a lack of daily fruit and veggie consumption, as well as a lack of daily	
blood	blood	fruit	fruit	pressure, diabetes, abdominal obesity, stress, a lack of daily	
blood	blood	exercise	exercise	pressure, diabetes, abdominal obesity, stress, a lack of daily fruit and veggie consumption, as well as a lack of daily	
abdominal obesity	abdominal obesity	fruit	fruit	, stress, a lack of daily	
abdominal obesity	abdominal obesity	exercise	exercise	, stress, a lack of daily fruit and veggie consumption, as well as a lack of daily	
abdominal obesity	abdominal obesity	stress	stress	,	
bad cholesterol	bad cholesterol	high blood pressure	high blood pressure	,	
bad cholesterol	bad cholesterol	fruit	fruit	, high blood pressure, diabetes, abdominal obesity, stress, a lack of daily	
bad cholesterol	bad cholesterol	exercise	exercise	, high blood pressure, diabetes, abdominal obesity, stress, a lack of daily fruit and veggie consumption, as well as a lack of daily	
bad cholesterol	bad cholesterol	stress	stress	, high blood pressure, diabetes, abdominal obesity,	
bad cholesterol	bad cholesterol	blood	blood	, high	
bad cholesterol	bad cholesterol	abdominal obesity	abdominal obesity	, high blood pressure, diabetes,	
bad cholesterol	bad cholesterol	diabetes	diabetes	, high blood pressure,	
bad cholesterol	bad cholesterol	blood pressure	blood pressure	, high	
bad cholesterol	bad cholesterol	obesity	obesity	, high blood pressure, diabetes, abdominal	
diabetes	diabetes	fruit	fruit	, abdominal obesity, stress, a lack of daily	
diabetes	diabetes	exercise	exercise	, abdominal obesity, stress, a lack of daily fruit and veggie consumption, as well as a lack of daily	
diabetes	diabetes	stress	stress	, abdominal obesity,	
diabetes	diabetes	abdominal obesity	abdominal obesity	,	
diabetes	diabetes	obesity	obesity	, abdominal	
blood pressure	blood pressure	fruit	fruit	, diabetes, abdominal obesity, stress, a lack of daily	
blood pressure	blood pressure	exercise	exercise	, diabetes, abdominal obesity, stress, a lack of daily fruit and veggie consumption, as well as a lack of daily	
blood pressure	blood pressure	stress	stress	, diabetes, abdominal obesity,	
blood pressure	blood pressure	abdominal obesity	abdominal obesity	, diabetes,	
blood pressure	blood pressure	diabetes	diabetes	,	
blood pressure	blood pressure	obesity	obesity	, diabetes, abdominal	
cholesterol	cholesterol	high blood pressure	high blood pressure	,	
cholesterol	cholesterol	fruit	fruit	, high blood pressure, diabetes, abdominal obesity, stress, a lack of daily	
cholesterol	cholesterol	exercise	exercise	, high blood pressure, diabetes, abdominal obesity, stress, a lack of daily fruit and veggie consumption, as well as a lack of daily	
cholesterol	cholesterol	stress	stress	, high blood pressure, diabetes, abdominal obesity,	
cholesterol	cholesterol	blood	blood	, high	
cholesterol	cholesterol	abdominal obesity	abdominal obesity	, high blood pressure, diabetes,	
cholesterol	cholesterol	diabetes	diabetes	, high blood pressure,	
cholesterol	cholesterol	blood pressure	blood pressure	, high	
cholesterol	cholesterol	obesity	obesity	, high blood pressure, diabetes, abdominal	
obesity	obesity	fruit	fruit	, stress, a lack of daily	
obesity	obesity	exercise	exercise	, stress, a lack of daily fruit and veggie consumption, as well as a lack of daily	
obesity	obesity	stress	stress	,	
american journal of cardiology	american journal of cardiology	risk	risk	, is convinced, however, that atherosclerosis has a single cause—namely cholesterol—and that the other so-called atherosclerotic	
american journal of cardiology	american journal of cardiology	cholesterol	cholesterol	, is convinced, however, that atherosclerosis has a single cause—namely	
american journal of cardiology	american journal of cardiology	atherosclerosis	atherosclerosis	, is convinced, however, that	
atherosclerosis	atherosclerosis	risk	risk	has a single cause—namely cholesterol—and that the other so-called atherosclerotic	
dr. william clifford roberts	dr. william clifford roberts	american journal of cardiology	american journal of cardiology	, executive director of baylor heart and vascular institute and long-time editor in chief of the	
dr. william clifford roberts	dr. william clifford roberts	risk	risk	, executive director of baylor heart and vascular institute and long-time editor in chief of the american journal of cardiology, is convinced, however, that atherosclerosis has a single cause—namely cholesterol—and that the other so-called atherosclerotic	
dr. william clifford roberts	dr. william clifford roberts	cholesterol	cholesterol	, executive director of baylor heart and vascular institute and long-time editor in chief of the american journal of cardiology, is convinced, however, that atherosclerosis has a single cause—namely	
dr. william clifford roberts	dr. william clifford roberts	atherosclerosis	atherosclerosis	, executive director of baylor heart and vascular institute and long-time editor in chief of the american journal of cardiology, is convinced, however, that	
smoking	smoking	disease	disease	, diabetic couch potatoes, but if our cholesterol is low enough, there may just not be enough cholesterol in our blood stream to infiltrate our artery walls and trigger the	
smoking	smoking	blood	blood	, diabetic couch potatoes, but if our cholesterol is low enough, there may just not be enough cholesterol in our	
smoking	smoking	cholesterol	cholesterol	, diabetic couch potatoes, but if our	
smoking	smoking	potatoes	potatoes	, diabetic couch	
blood	blood	disease	disease	stream to infiltrate our artery walls and trigger the	
cholesterol	cholesterol	disease	disease	is low enough, there may just not be enough cholesterol in our blood stream to infiltrate our artery walls and trigger the	
cholesterol	cholesterol	blood	blood	is low enough, there may just not be enough cholesterol in our	
potatoes	potatoes	disease	disease	, but if our cholesterol is low enough, there may just not be enough cholesterol in our blood stream to infiltrate our artery walls and trigger the	
potatoes	potatoes	blood	blood	, but if our cholesterol is low enough, there may just not be enough cholesterol in our	
potatoes	potatoes	cholesterol	cholesterol	, but if our	
blood	blood	risk	risk	cholesterol level in the united states, the so-called normal level, was actually abnormal,” accelerating the blockages in our arteries and putting a large fraction of the normal population at	
blood	blood	arteries	arteries	cholesterol level in the united states, the so-called normal level, was actually abnormal,” accelerating the blockages in our	
united states	united states	risk	risk	, the so-called normal level, was actually abnormal,” accelerating the blockages in our arteries and putting a large fraction of the normal population at	
united states	united states	arteries	arteries	, the so-called normal level, was actually abnormal,” accelerating the blockages in our	
cholesterol	cholesterol	risk	risk	level in the united states, the so-called normal level, was actually abnormal,” accelerating the blockages in our arteries and putting a large fraction of the normal population at	
cholesterol	cholesterol	arteries	arteries	level in the united states, the so-called normal level, was actually abnormal,” accelerating the blockages in our	
arteries	arteries	risk	risk	and putting a large fraction of the normal population at	
cholesterol	cholesterol	ldl cholesterol	ldl cholesterol	level, you can see graphing of the progression of atherosclerosis versus	
cholesterol	cholesterol	ldl	ldl	level, you can see graphing of the progression of atherosclerosis versus	
cholesterol	cholesterol	atherosclerosis	atherosclerosis	level, you can see graphing of the progression of	
cholesterol	cholesterol	ldl	ldl	means more atherosclerosis, but if we draw a line down through the points, we can estimate that the	
atherosclerosis	atherosclerosis	ldl	ldl	, but if we draw a line down through the points, we can estimate that the	
disease	disease	ldl	ldl	events might be reached down around 55, and those who’ve already had a heart attack and are trying to prevent a second one might need to push	
disease	disease	heart attack	heart attack	events might be reached down around 55, and those who’ve already had a	
coronary heart disease	coronary heart disease	ldl	ldl	events might be reached down around 55, and those who’ve already had a heart attack and are trying to prevent a second one might need to push	
coronary heart disease	coronary heart disease	heart attack	heart attack	events might be reached down around 55, and those who’ve already had a	
heart attack	heart attack	ldl	ldl	and are trying to prevent a second one might need to push	
heart disease	heart disease	ldl	ldl	events might be reached down around 55, and those who’ve already had a heart attack and are trying to prevent a second one might need to push	
heart disease	heart disease	heart attack	heart attack	events might be reached down around 55, and those who’ve already had a	
atherosclerosis	atherosclerosis	ldl	ldl	is endemic in our population in part because the average person’s	
risk	risk	health	health	accompanying more optimal cholesterol levels, the intensity of clinical intervention required to achieve such levels for everyone in the population would “financially overload the	
cholesterol	cholesterol	health	health	levels, the intensity of clinical intervention required to achieve such levels for everyone in the population would “financially overload the	
histones	histones	dna	dna	, which act like spools with	
histones	histones	sirtuins	sirtuins	and by doing so, silence whatever genes were in that stretch of dna, hence their name	
histones	histones	dna	dna	and by doing so, silence whatever genes were in that stretch of	
dna	dna	sirtuins	sirtuins	around the histones and by doing so, silence whatever genes were in that stretch of dna, hence their name	
sirtuins	sirtuins	aging	aging	“has become one of the most promising areas of biomedicine,” since they appear to be involved in promoting healthy	
sirtuins	sirtuins	longevity	longevity	“has become one of the most promising areas of biomedicine,” since they appear to be involved in promoting healthy aging and	
health	health	drugs	drugs	, researchers are trying to come up with	
nerve health	nerve health	drugs	drugs	, researchers are trying to come up with	
glycotoxins	glycotoxins	smoking	smoking	are produced internally, particularly in diabetics, but anyone can get them from	
glycotoxins	glycotoxins	protein	protein	are produced internally, particularly in diabetics, but anyone can get them from smoking and eating, particularly foods high in fat and	
glycotoxins	glycotoxins	fat	fat	are produced internally, particularly in diabetics, but anyone can get them from smoking and eating, particularly foods high in	
chicken	chicken	pork	pork	, but also	
chicken	chicken	risk	risk	, but also pork, beef, and fish, which may help explain why those that eat the most meat may have triple the	
chicken	chicken	fish	fish	, but also pork, beef, and	
chicken	chicken	vegetarians	vegetarians	, but also pork, beef, and fish, which may help explain why those that eat the most meat may have triple the risk of getting dementia compared to long-time	
chicken	chicken	meat	meat	, but also pork, beef, and fish, which may help explain why those that eat the most	
chicken	chicken	beef	beef	, but also pork,	
chicken	chicken	dementia	dementia	, but also pork, beef, and fish, which may help explain why those that eat the most meat may have triple the risk of getting	
pork	pork	risk	risk	, beef, and fish, which may help explain why those that eat the most meat may have triple the	
pork	pork	fish	fish	, beef, and	
pork	pork	vegetarians	vegetarians	, beef, and fish, which may help explain why those that eat the most meat may have triple the risk of getting dementia compared to long-time	
pork	pork	meat	meat	, beef, and fish, which may help explain why those that eat the most	
pork	pork	beef	beef	,	
pork	pork	dementia	dementia	, beef, and fish, which may help explain why those that eat the most meat may have triple the risk of getting	
glycotoxins	glycotoxins	chicken	chicken	; mostly	
glycotoxins	glycotoxins	pork	pork	; mostly chicken, but also	
glycotoxins	glycotoxins	risk	risk	; mostly chicken, but also pork, beef, and fish, which may help explain why those that eat the most meat may have triple the	
glycotoxins	glycotoxins	fish	fish	; mostly chicken, but also pork, beef, and	
glycotoxins	glycotoxins	vegetarians	vegetarians	; mostly chicken, but also pork, beef, and fish, which may help explain why those that eat the most meat may have triple the risk of getting dementia compared to long-time	
glycotoxins	glycotoxins	meat	meat	; mostly chicken, but also pork, beef, and fish, which may help explain why those that eat the most	
glycotoxins	glycotoxins	beef	beef	; mostly chicken, but also pork,	
glycotoxins	glycotoxins	dementia	dementia	; mostly chicken, but also pork, beef, and fish, which may help explain why those that eat the most meat may have triple the risk of getting	
fish	fish	risk	risk	, which may help explain why those that eat the most meat may have triple the	
fish	fish	vegetarians	vegetarians	, which may help explain why those that eat the most meat may have triple the risk of getting dementia compared to long-time	
fish	fish	meat	meat	, which may help explain why those that eat the most	
fish	fish	dementia	dementia	, which may help explain why those that eat the most meat may have triple the risk of getting	
meat	meat	vegetarians	vegetarians	may have triple the risk of getting dementia compared to long-time	
beef	beef	risk	risk	, and fish, which may help explain why those that eat the most meat may have triple the	
beef	beef	fish	fish	, and	
beef	beef	vegetarians	vegetarians	, and fish, which may help explain why those that eat the most meat may have triple the risk of getting dementia compared to long-time	
beef	beef	meat	meat	, and fish, which may help explain why those that eat the most	
beef	beef	dementia	dementia	, and fish, which may help explain why those that eat the most meat may have triple the risk of getting	
plant foods	plant foods	roasted	roasted	such as nuts and soy products; so, i no longer recommend toasting nuts and would steer clear of	
plant foods	plant foods	tofu	tofu	such as nuts and soy products; so, i no longer recommend toasting nuts and would steer clear of roasted	
nuts	nuts	roasted	roasted	and soy products; so, i no longer recommend toasting nuts and would steer clear of	
nuts	nuts	tofu	tofu	and soy products; so, i no longer recommend toasting nuts and would steer clear of roasted	
protein	protein	roasted	roasted	plant foods such as nuts and soy products; so, i no longer recommend toasting nuts and would steer clear of	
protein	protein	tofu	tofu	plant foods such as nuts and soy products; so, i no longer recommend toasting nuts and would steer clear of roasted	
fat	fat	roasted	roasted	and protein plant foods such as nuts and soy products; so, i no longer recommend toasting nuts and would steer clear of	
fat	fat	tofu	tofu	and protein plant foods such as nuts and soy products; so, i no longer recommend toasting nuts and would steer clear of roasted	
soy	soy	roasted	roasted	products; so, i no longer recommend toasting nuts and would steer clear of	
soy	soy	tofu	tofu	products; so, i no longer recommend toasting nuts and would steer clear of roasted	
gestational diabetes	gestational diabetes	diabetes	diabetes	during pregnancy, and why is meat a risk factor for	
glycotoxins	glycotoxins	gestational diabetes	gestational diabetes	, bacon, eggs, and	
glycotoxins	glycotoxins	risk	risk	, bacon, eggs, and gestational diabetes during pregnancy, and why is meat a	
glycotoxins	glycotoxins	bacon	bacon	, 	
glycotoxins	glycotoxins	diabetes	diabetes	, bacon, eggs, and gestational	
glycotoxins	glycotoxins	meat	meat	, bacon, eggs, and gestational diabetes during pregnancy, and why is	
glycotoxins	glycotoxins	eggs	eggs	, bacon,	
glycotoxins	glycotoxins	pregnancy	pregnancy	, bacon, eggs, and gestational diabetes during	
bacon	bacon	gestational diabetes	gestational diabetes	, eggs, and	
bacon	bacon	risk	risk	, eggs, and gestational diabetes during pregnancy, and why is meat a	
bacon	bacon	diabetes	diabetes	, eggs, and gestational	
bacon	bacon	meat	meat	, eggs, and gestational diabetes during pregnancy, and why is	
bacon	bacon	eggs	eggs	,	
bacon	bacon	pregnancy	pregnancy	, eggs, and gestational diabetes during	
eggs	eggs	gestational diabetes	gestational diabetes	, and	
eggs	eggs	risk	risk	, and gestational diabetes during pregnancy, and why is meat a	
eggs	eggs	diabetes	diabetes	, and gestational	
eggs	eggs	meat	meat	, and gestational diabetes during pregnancy, and why is	
eggs	eggs	pregnancy	pregnancy	, and gestational diabetes during	
pregnancy	pregnancy	risk	risk	, and why is meat a	
pregnancy	pregnancy	diabetes	diabetes	, and why is meat a risk factor for	
pregnancy	pregnancy	meat	meat	, and why is	
advanced glycation end-products	advanced glycation end-products	risk	risk	in glycotoxins, bacon, eggs, and gestational diabetes during pregnancy, and why is meat a	
advanced glycation end-products	advanced glycation end-products	meat	meat	in glycotoxins, bacon, eggs, and gestational diabetes during pregnancy, and why is	
cilantro	cilantro	bugs	bugs	may describe it as “fresh, fragrant or citrusy, whereas those who dislike cilantro report that it tastes like soap, mold, dirt, or	
cilantro	cilantro	mold	mold	may describe it as “fresh, fragrant or citrusy, whereas those who dislike cilantro report that it tastes like soap,	
mold	mold	bugs	bugs	, dirt, or	
chemicals	chemicals	bugs	bugs	like e-(2)-decenal, a primary constituent of cilantro and also…the defensive secretions of stink	
coriander	coriander	herbal	herbal	around most of the world—is one of nature’s oldest	
coriander	coriander	anxiety	anxiety	around most of the world—is one of nature’s oldest herbal prescriptions, credited with anti-microbial, anti-oxidant, anti-diabetic, anti-	
coriander	coriander	epilepsy	epilepsy	around most of the world—is one of nature’s oldest herbal prescriptions, credited with anti-microbial, anti-oxidant, anti-diabetic, anti-anxiety, and anti-	
herbal	herbal	epilepsy	epilepsy	prescriptions, credited with anti-microbial, anti-oxidant, anti-diabetic, anti-anxiety, and anti-	
cilantro	cilantro	herbal	herbal	—called coriander around most of the world—is one of nature’s oldest	
cilantro	cilantro	anxiety	anxiety	—called coriander around most of the world—is one of nature’s oldest herbal prescriptions, credited with anti-microbial, anti-oxidant, anti-diabetic, anti-	
cilantro	cilantro	epilepsy	epilepsy	—called coriander around most of the world—is one of nature’s oldest herbal prescriptions, credited with anti-microbial, anti-oxidant, anti-diabetic, anti-anxiety, and anti-	
anxiety	anxiety	epilepsy	epilepsy	, and anti-	
germany	germany	sunburn	sunburn	of a lotion made out of cilantro seeds showing it could decrease the redness of a	
germany	germany	anti-inflammatory	anti-inflammatory	of a lotion made out of cilantro seeds showing it could decrease the redness of a sunburn, demonstrating it had some	
germany	germany	cream	cream	of a lotion made out of cilantro seeds showing it could decrease the redness of a sunburn, demonstrating it had some anti-inflammatory effects (although not as much as an over-the-counter steroid, hydrocortisone, or prescription strength steroid	
sunburn	sunburn	anti-inflammatory	anti-inflammatory	, demonstrating it had some	
sunburn	sunburn	cream	cream	, demonstrating it had some anti-inflammatory effects (although not as much as an over-the-counter steroid, hydrocortisone, or prescription strength steroid	
anti-inflammatory	anti-inflammatory	cream	cream	effects (although not as much as an over-the-counter steroid, hydrocortisone, or prescription strength steroid	
cilantro	cilantro	anti-inflammatory	anti-inflammatory	seeds showing it could decrease the redness of a sunburn, demonstrating it had some	
cilantro	cilantro	cream	cream	seeds showing it could decrease the redness of a sunburn, demonstrating it had some anti-inflammatory effects (although not as much as an over-the-counter steroid, hydrocortisone, or prescription strength steroid	
seeds	seeds	anti-inflammatory	anti-inflammatory	 showing it could decrease the redness of a sunburn, demonstrating it had some	
seeds	seeds	cream	cream	 showing it could decrease the redness of a sunburn, demonstrating it had some anti-inflammatory effects (although not as much as an over-the-counter steroid, hydrocortisone, or prescription strength steroid	
anti-inflammatory	anti-inflammatory	osteoarthritis	osteoarthritis	, why not give it to people with	
cilantro	cilantro	osteoarthritis	osteoarthritis	plant is anti-inflammatory, why not give it to people with	
cilantro	cilantro	inflammation	inflammation	daily for two months, and reported a significant drop in esr—a nonspecific indicator of	
uric acid	uric acid	gout	gout	levels, suggesting that huge amounts of cilantro may be useful for those suffering from	
beeturia	beeturia	urine	urine	,” pink	
cilantro	cilantro	beeturia	beeturia	lovers/haters factoid reminds me of the video pretty in pee-nk about the phenomenon of “	
cilantro	cilantro	urine	urine	lovers/haters factoid reminds me of the video pretty in pee-nk about the phenomenon of “beeturia,” pink	
bugs	bugs	meat	meat	, i have some nutritional info in good grub: the healthiest	
tobacco	tobacco	disease	disease	industries have been blamed for “manufacturing epidemics” of chronic	
alcohol	alcohol	disease	disease	, and tobacco industries have been blamed for “manufacturing epidemics” of chronic	
alcohol	alcohol	tobacco	tobacco	, and	
alcohol	alcohol	chronic disease	chronic disease	, and tobacco industries have been blamed for “manufacturing epidemics” of	
health	health	public health	public health	have earned a reputation for being “anti-industry,” but the issue is not industry, but that sector of industry whose products are harmful to	
public health	public health	health	health	have earned a reputation for being “anti-industry,” but the issue is not industry, but that sector of industry whose products are harmful to public	
workplace intervention	workplace intervention	obesity	obesity	, the annual cost attributable to	
diet	diet	dairy	dairy	of whole grains, vegetables, beans, and fruit while avoiding meat,	
diet	diet	meat	meat	of whole grains, vegetables, beans, and fruit while avoiding	
diet	diet	eggs	eggs	of whole grains, vegetables, beans, and fruit while avoiding meat, dairy, and	
plant-based diet	plant-based diet	dairy	dairy	of whole grains, vegetables, beans, and fruit while avoiding meat,	
plant-based diet	plant-based diet	meat	meat	of whole grains, vegetables, beans, and fruit while avoiding	
plant-based diet	plant-based diet	eggs	eggs	of whole grains, vegetables, beans, and fruit while avoiding meat, dairy, and	
plant protein	plant protein	fruit	fruit	appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and	
plant protein	plant protein	diet	diet	appeared protected, obese and diabetic employees were asked to follow a plant-based	
plant protein	plant protein	plant-based diet	plant-based diet	appeared protected, obese and diabetic employees were asked to follow a	
plant protein	plant protein	beans	beans	appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables,	
plant protein	plant protein	dairy	dairy	appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding meat,	
plant protein	plant protein	meat	meat	appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding	
plant protein	plant protein	eggs	eggs	appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding meat, dairy, and	
plant protein	plant protein	grains	grains	appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole	
plant protein	plant protein	vegetables	vegetables	appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains,	
plant protein	plant protein	whole grains	whole grains	appeared protected, obese and diabetic employees were asked to follow a plant-based diet of	
plant protein	plant protein	plant-based	plant-based	appeared protected, obese and diabetic employees were asked to follow a	
beans	beans	fruit	fruit	, and	
beans	beans	dairy	dairy	, and fruit while avoiding meat,	
beans	beans	meat	meat	, and fruit while avoiding	
beans	beans	eggs	eggs	, and fruit while avoiding meat, dairy, and	
dairy	dairy	eggs	eggs	, and	
meat	meat	dairy	dairy	,	
meat	meat	eggs	eggs	, dairy, and	
protein	protein	fruit	fruit	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and	
protein	protein	diet	diet	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based	
protein	protein	plant-based diet	plant-based diet	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a	
protein	protein	plant protein	plant protein	had nearly five times the odds of obesity, whereas those that ate mostly	
protein	protein	beans	beans	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables,	
protein	protein	dairy	dairy	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding meat,	
protein	protein	meat	meat	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding	
protein	protein	eggs	eggs	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding meat, dairy, and	
protein	protein	grains	grains	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole	
protein	protein	vegetables	vegetables	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains,	
protein	protein	whole grains	whole grains	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of	
protein	protein	plant-based	plant-based	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a	
grains	grains	fruit	fruit	, vegetables, beans, and	
grains	grains	beans	beans	, vegetables,	
grains	grains	dairy	dairy	, vegetables, beans, and fruit while avoiding meat,	
grains	grains	meat	meat	, vegetables, beans, and fruit while avoiding	
grains	grains	eggs	eggs	, vegetables, beans, and fruit while avoiding meat, dairy, and	
grains	grains	vegetables	vegetables	,	
obesity	obesity	fruit	fruit	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and	
obesity	obesity	diet	diet	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based	
obesity	obesity	plant-based diet	plant-based diet	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a	
obesity	obesity	plant protein	plant protein	, whereas those that ate mostly	
obesity	obesity	beans	beans	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables,	
obesity	obesity	dairy	dairy	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding meat,	
obesity	obesity	meat	meat	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding	
obesity	obesity	eggs	eggs	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding meat, dairy, and	
obesity	obesity	protein	protein	, whereas those that ate mostly plant	
obesity	obesity	grains	grains	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole	
obesity	obesity	vegetables	vegetables	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains,	
obesity	obesity	whole grains	whole grains	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of	
obesity	obesity	plant-based	plant-based	, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a	
vegetables	vegetables	fruit	fruit	, beans, and	
vegetables	vegetables	beans	beans	,	
vegetables	vegetables	dairy	dairy	, beans, and fruit while avoiding meat,	
vegetables	vegetables	meat	meat	, beans, and fruit while avoiding	
vegetables	vegetables	eggs	eggs	, beans, and fruit while avoiding meat, dairy, and	
whole grains	whole grains	fruit	fruit	, vegetables, beans, and	
whole grains	whole grains	beans	beans	, vegetables,	
whole grains	whole grains	dairy	dairy	, vegetables, beans, and fruit while avoiding meat,	
whole grains	whole grains	meat	meat	, vegetables, beans, and fruit while avoiding	
whole grains	whole grains	eggs	eggs	, vegetables, beans, and fruit while avoiding meat, dairy, and	
whole grains	whole grains	vegetables	vegetables	,	
animal protein	animal protein	fruit	fruit	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and	
animal protein	animal protein	diet	diet	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based	
animal protein	animal protein	plant-based diet	plant-based diet	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a	
animal protein	animal protein	plant protein	plant protein	had nearly five times the odds of obesity, whereas those that ate mostly	
animal protein	animal protein	beans	beans	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables,	
animal protein	animal protein	dairy	dairy	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding meat,	
animal protein	animal protein	meat	meat	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding	
animal protein	animal protein	eggs	eggs	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains, vegetables, beans, and fruit while avoiding meat, dairy, and	
animal protein	animal protein	protein	protein	had nearly five times the odds of obesity, whereas those that ate mostly plant	
animal protein	animal protein	grains	grains	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole	
animal protein	animal protein	vegetables	vegetables	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of whole grains,	
animal protein	animal protein	whole grains	whole grains	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a plant-based diet of	
animal protein	animal protein	plant-based	plant-based	had nearly five times the odds of obesity, whereas those that ate mostly plant protein appeared protected, obese and diabetic employees were asked to follow a	
plant-based	plant-based	dairy	dairy	diet of whole grains, vegetables, beans, and fruit while avoiding meat,	
plant-based	plant-based	meat	meat	diet of whole grains, vegetables, beans, and fruit while avoiding	
